loss_name,display_name,seed,best_own_validation_loss,validation_mae,validation_rmse,test_mae,test_rmse,epochs_trained
mae,MAE,42,0.2248489409685135,0.44197618226330077,0.5742435253762745,0.4655035478258582,0.6245263838285228,84
log_cosh,Log-Cosh,42,0.04099564626812935,0.4431445664489215,0.5784482870278119,0.474945261675234,0.6296999049667222,77
mse,MSE,42,0.0937434509396553,0.45955383588574983,0.601418746469645,0.48418294615742735,0.641220038633441,68
huber,Huber,42,0.04776618257164955,0.46806961382598916,0.6100106198345333,0.4833662911436085,0.6463780484306848,49
