conv_filters,num_conv_layers,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,n_params,pass_number,search_parameter,from_cache,stability_score
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,0,initial_config,False,0.04238486235537481
"(192,)",1,3,4,128,0.1,0.001,0.04196148489912351,0.0012778633439678787,0.22135786712169647,0.0036666990165192693,351007,1,conv_filters,False,0.04323934824309139
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,conv_filters,True,0.04238486235537481
"(384,)",1,3,4,128,0.1,0.001,0.047164482374986015,0.0030972417854376708,0.23471610248088837,0.008324050089040417,553375,1,conv_filters,False,0.05026172416042369
"(512,)",1,3,4,128,0.1,0.001,0.0454365499317646,0.0015025522188177702,0.2298454443613688,0.0027343356799977027,688287,1,conv_filters,False,0.046939102150582376
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,kernel_size,True,0.04238486235537481
"(256,)",1,3,2,128,0.1,0.001,0.043903140972057976,0.0009190334630456438,0.22564386328061423,0.0030543552142882663,418463,1,dilation_rate,False,0.04482217443510362
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,dilation_rate,True,0.04238486235537481
"(256,)",1,3,6,128,0.1,0.001,0.042686873426040016,0.0009461004142369965,0.22368070979913077,0.0041703824388309016,418463,1,dilation_rate,False,0.04363297384027701
"(256,)",1,3,8,128,0.1,0.001,0.04322043185432752,0.0016396272829964414,0.22381621599197388,0.0038122784306520562,418463,1,dilation_rate,False,0.044860059137323965
"(256,)",1,3,4,96,0.1,0.001,0.04273490235209465,0.0010358404120237787,0.2228493591149648,0.0022134447846969578,291231,1,lstm_units,False,0.04377074276411843
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,lstm_units,True,0.04238486235537481
"(256,)",1,3,4,160,0.1,0.001,0.04435796911517779,0.002296353810557652,0.2275794098774592,0.00558474981147264,562079,1,lstm_units,False,0.04665432292573544
"(256,)",1,3,4,192,0.1,0.001,0.042134119818607964,0.0010109175131263245,0.2218605875968933,0.003737033089553147,722079,1,lstm_units,False,0.04314503733173429
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,dropout_rate,True,0.04238486235537481
"(256,)",1,3,4,128,0.2,0.001,0.040995921939611435,0.0015944182706791924,0.21754477421442667,0.00422022336989519,418463,1,dropout_rate,False,0.04259034021029063
"(256,)",1,3,4,128,0.1,0.0003,0.046255928774674736,0.0008882599318093499,0.23027390241622925,0.0023551054999990657,418463,1,learning_rate,False,0.04714418870648408
"(256,)",1,3,4,128,0.1,0.001,0.041809619714816414,0.0005752426405583915,0.22048386931419373,0.0011125139068265423,418463,1,learning_rate,True,0.04238486235537481
