conv_filters,num_conv_layers,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,stability_score,n_params
"(32, 128, 64)",3,3,1,64,0.1,0.001,0.050756568710009255,0.001294243392912963,0.2444385290145874,0.002282293626832436,0.052050812102922214,112799
"(16, 16, 256)",3,7,4,64,0.1,0.003,0.05846294263998667,0.001726430992256972,0.2651767631371816,0.00410420460303604,0.060189373632243644,205039
"(256, 16)",2,5,1,128,0.1,0.003,0.045536993692318596,0.0011265357077674897,0.2296926031510035,0.001413343307543399,0.046663529400086085,197839
"(128, 64, 64)",3,3,2,128,0.1,0.001,0.05475738272070885,0.0016448331151500562,0.25471356014410657,0.006095112177402651,0.0564022158358589,255263
"(32, 256)",2,5,1,128,0.1,0.001,0.04974841699004173,0.0015982178110307665,0.24302860597769418,0.004089103735915021,0.0513466348010725,454047
"(128, 256, 64)",3,3,4,128,0.1,0.003,0.050829523553450905,0.0039232314218503785,0.24335771799087524,0.01143955500405841,0.054752754975301285,366431
"(64, 16, 256)",3,5,1,64,0.1,0.003,0.04994220659136772,0.007772004621067312,0.24284147222836813,0.020121928814543957,0.057714211212435036,202191
"(128, 16, 256)",3,7,4,64,0.1,0.001,0.05685476710398992,0.003556868726308459,0.2604283392429352,0.008777619801577884,0.06041163583029838,224975
"(128, 16)",2,3,2,64,0.1,0.001,0.05193361019094785,0.00267099368004349,0.2451825737953186,0.00862798155832438,0.05460460387099134,59855
"(32, 256, 32)",3,7,1,128,0.1,0.001,0.05518930032849312,0.0013121913521774108,0.2557104031244914,0.003924985927065271,0.05650149168067053,299071
"(256, 256, 256)",3,5,2,128,0.1,0.003,0.04294763132929802,0.00270244653443225,0.22313439349333444,0.0060036576867467046,0.04565007786373027,1079967
"(64, 32, 16)",3,3,4,64,0.1,0.003,0.05675837645928065,0.0003844762387351585,0.2609414756298065,0.001271901395034701,0.057142852698015806,59567
"(32, 64, 128)",3,3,2,64,0.1,0.001,0.05225457747777303,0.0019458720187849716,0.24794144928455353,0.005030062125854412,0.05420044949655801,139423
"(32, 256, 128)",3,5,4,128,0.1,0.003,0.04969244822859764,0.005675976314704131,0.24086715281009674,0.014990333546025391,0.05536842454330177,487199
"(64, 32, 64)",3,5,2,64,0.1,0.003,0.04942676921685537,0.002859714962173216,0.2415089557568232,0.008370562798089193,0.052286484179028585,98239
"(16, 256, 32)",3,3,2,64,0.1,0.003,0.05446351319551468,0.006120640323829989,0.25488478938738507,0.01434094681320616,0.060584153519344666,96223
"(32, 32)",2,7,2,64,0.1,0.003,0.053033675998449326,0.0035069364364453074,0.2481028139591217,0.008889908785852432,0.05654061243489463,67391
"(64, 256, 16)",3,3,1,128,0.1,0.001,0.05035177618265152,0.0023784637106298097,0.2412389467159907,0.0046248263371583866,0.05273023989328133,229199
"(32, 64, 256)",3,3,1,128,0.1,0.001,0.049453107019265495,0.0041103520012307,0.24235896269480386,0.0126215404205199,0.053563459020496196,467999
"(32, 128, 64)",3,5,4,128,0.1,0.003,0.04502073675394058,0.00044543081246219287,0.22974620759487152,0.0015617554009499258,0.045466167566402774,277727
"(128, 64, 16)",3,3,1,128,0.1,0.001,0.05560037742058436,0.003152018053627094,0.25532302260398865,0.008631645035383561,0.058752395474211454,196751
"(16, 16, 16)",3,3,1,64,0.1,0.001,0.056676762799421944,0.004490895606400045,0.25817977885405224,0.011570915068262638,0.06116765840582199,51935
"(64, 256, 128)",3,7,2,64,0.1,0.003,0.04775355011224747,0.007946634401860385,0.23704822858174643,0.021296575910599278,0.05570018451410785,456607
"(64, 256)",2,5,4,128,0.1,0.001,0.049213615556557976,0.0019607451348231113,0.2408256729443868,0.005013432012713359,0.051174360691381086,496543
"(32, 64, 32)",3,3,2,128,0.1,0.003,0.05691209683815638,0.003294002766465417,0.26019291083017987,0.00810555737368508,0.060206099604621796,194943
"(64, 16, 16)",3,5,4,64,0.1,0.003,0.06045967837174734,0.0011928289293427342,0.2684269845485687,0.0032806039472738162,0.06165250730109007,59391
"(32, 128)",2,3,2,64,0.1,0.003,0.0507162536183993,0.003498433428304259,0.24501257141431174,0.008584570075314513,0.054214687046703555,120799
"(128, 64, 128)",3,3,4,128,0.1,0.001,0.049336012452840805,0.0040165209309609975,0.2430378794670105,0.009739593914436297,0.0533525333838018,333279
"(256, 64, 16)",3,3,1,64,0.1,0.003,0.04833865041534106,0.003746185183661374,0.23724500834941864,0.010793537043180769,0.052084835599002434,109967
"(256, 64, 64)",3,3,2,128,0.1,0.003,0.042827109495798744,0.0031675333378095682,0.22451740006605783,0.007171500269095793,0.04599464283360831,283679
"(32, 16, 32)",3,7,2,128,0.1,0.003,0.05814625943700472,0.002035638638231777,0.26234304904937744,0.006266113416060904,0.0601818980752365,190831
"(32, 32, 32)",3,7,2,64,0.1,0.001,0.05944635843237241,0.0021095058465798425,0.2647387782732646,0.00494148854803335,0.06155586427895226,74655
"(16, 64, 64)",3,5,4,64,0.1,0.001,0.05223604788382848,0.0026522524100737847,0.246981551249822,0.004430064809259608,0.054888300293902265,101151
"(128, 64, 32)",3,5,4,64,0.1,0.001,0.05649816617369652,0.0050637048930566525,0.2581867227951686,0.011215900288571083,0.06156187106675317,115647
"(128, 16, 32)",3,3,4,128,0.1,0.003,0.05625465139746666,0.0013001805418590181,0.25794436534245807,0.003976036272612419,0.05755483193932568,193071
"(128, 64, 256)",3,7,4,128,0.1,0.001,0.049057383090257645,0.0015570064770086415,0.23948616782824197,0.00363040752247176,0.050614389567266285,592223
"(16, 256)",2,7,2,64,0.1,0.003,0.05812222510576248,0.004988300717095758,0.26296937465667725,0.011844645629037797,0.06311052582285824,203199
"(32, 16, 32)",3,5,4,128,0.1,0.003,0.05866048733393351,0.000672685896896785,0.26428020000457764,0.002171110420796892,0.059333173230830295,188207
"(16, 256, 256)",3,5,4,64,0.1,0.003,0.05759428068995476,0.004455457232763887,0.2619244505961736,0.012126420180810315,0.062049737922718645,523167
"(32, 16)",2,5,2,64,0.1,0.001,0.058089145769675575,0.004667765683122478,0.2627127915620804,0.011096797266112644,0.06275691145279805,53967
"(32, 128)",2,5,4,128,0.1,0.001,0.05474966764450073,0.002851962398044658,0.25466206173102063,0.006824924271224585,0.05760163004254539,302111
"(32, 64, 128)",3,7,1,64,0.1,0.001,0.054240256547927856,0.0019556702451946732,0.25342313945293427,0.004763419420617347,0.05619592679312253,181535
"(256, 128, 256)",3,5,1,64,0.1,0.003,0.042698013285795845,0.00034726307129548877,0.22272894779841104,0.0015469290667440246,0.043045276357091336,513823
"(128, 128, 16)",3,3,1,64,0.1,0.001,0.054713585724433265,0.002889442822558885,0.25624261796474457,0.005788405178661719,0.057603028546992154,109391
"(16, 16, 16)",3,7,2,64,0.1,0.003,0.061709815015395485,0.0008533656592849233,0.2703521052996318,0.0016181239308638174,0.0625631806746804,54559
"(64, 128, 64)",3,3,2,128,0.1,0.003,0.051191034416357674,0.003916688354414313,0.24604843060175577,0.011069221852622536,0.055107722770771986,265823
"(128, 16, 64)",3,7,2,128,0.1,0.001,0.05423261101047198,0.0038117343185985527,0.2517273873090744,0.011308921372630096,0.05804434532907053,244367
"(128, 128, 16)",3,5,1,128,0.1,0.003,0.05238706121842066,0.0019235462511901535,0.2478752682606379,0.005852420666398448,0.05431060746961081,263759
"(128, 256, 128)",3,7,1,128,0.1,0.001,0.04592896873752276,0.002551861979907055,0.23285676538944244,0.007392087854936797,0.04848083071742981,748063
