evaluation_index,dataset_id,mean_residual,residual_std,mae,rmse
0,0,0.03474076011553772,0.29753962588286004,0.2440013524142728,0.2988211843880302
1,1,0.552678820271504,0.550013712318903,0.596787767507694,0.7787530973914827
2,2,0.9849730650135572,0.3788966673198196,0.9849730650135572,1.0549961184221186
3,3,0.4016459959532143,0.4656545106200717,0.4819249341897052,0.6140598168824954
4,4,0.15093688219176302,0.3174183208163117,0.28394758875323167,0.3507599761142481
5,5,0.27950544167189656,0.29182513636292706,0.34284949966967526,0.403558412855409
6,6,-0.1467051455801862,0.3771793589615983,0.33935055417754967,0.4038258872611468
7,7,0.287784590921298,0.45176578449958776,0.41717361490445176,0.5346885384932466
8,8,0.8347598453535813,0.5744589460657746,0.868906025528281,1.0125102788249412
9,9,0.4020940837273237,0.2649727251173853,0.4264172262928349,0.4811851457592688
10,10,0.20082403241893715,0.23274110297367054,0.251881262882317,0.30696558586482625
11,11,0.49256089151340454,0.6084285096455203,0.5513315965636184,0.7816332624327099
12,12,0.17974769650885847,0.27255618176819574,0.2501332170894899,0.3259212669636613
13,13,-0.08474223642016748,0.287792268827133,0.23178728984429778,0.2993184168743664
14,14,-0.10891206314356115,0.321443202977626,0.2803500546895484,0.338630981416349
15,15,0.06520110272992025,0.47717128526708075,0.36619265138719626,0.48042185327399306
16,16,-0.4334803371687066,0.27544522628603485,0.44203531610406444,0.5132211268373913
17,17,0.5652282454418228,0.28574362374376855,0.5736537537382975,0.6330277567871024
18,18,-0.35505702243678217,0.33205389669701124,0.3752913138335445,0.48556562948975773
19,19,-0.10788608200536005,0.1939390514714014,0.16844826341343505,0.22150327446262733
20,20,0.07857317718447182,0.320673558734842,0.25824858363108827,0.3293798988829953
21,21,0.13314204566226417,0.38131921491715687,0.33479618230881003,0.4029939531430269
22,22,0.3220916686117476,0.2755790139713122,0.34719732000437775,0.4234467108926382
23,23,-0.8674539897722352,0.4481503512043301,0.8718385092954754,0.975864215949079
24,24,-0.49422444577231756,0.5297792367698744,0.5157760511843164,0.7235471735228205
25,25,0.05573954301983381,0.3603575965847162,0.2979591679918854,0.36375157193514834
26,26,-0.3298645279228339,0.8726000834210039,0.672123919958989,0.9308245580345231
27,27,0.4546823811458544,0.5460472664896951,0.5294901092237168,0.7095159243308974
28,28,0.10538170877743731,0.28152410094850183,0.24565277093912535,0.2999414023815994
29,29,0.4940671668337241,0.34841026473745423,0.5281585106325609,0.6040572235762549
30,30,0.6216364904070492,0.5208821544367184,0.6904600517973273,0.8101811858604082
31,31,-0.4011054937548761,0.6992447688214164,0.4779914552042237,0.8046018565792887
32,32,-0.010428569642699337,0.35447641593966306,0.2710314291850316,0.35374286830257723
33,33,0.339366943681467,0.2743031554092248,0.3560693005051236,0.43593110972471333
34,34,0.40194337509951905,0.29775917184122,0.411908814929212,0.49977564824617465
35,35,-0.07654429187266118,0.37616267332077874,0.297863380255775,0.3829489438999968
36,36,0.01401123017526001,0.29546189922845956,0.2404355717431182,0.2950551809360989
37,37,-0.048649891462302766,0.389226817410851,0.3159457384551092,0.3912886910634077
38,38,-0.053052005170184414,0.3255245198584002,0.24474426063731733,0.3290150410186045
39,39,-0.22893997713030578,0.2067361556243677,0.24654217995442984,0.30812278718159747
40,40,0.23172737125889875,0.4358052300984364,0.3508191642677819,0.4926196729514614
41,41,-0.21388880479763922,0.46540228746779494,0.4346504662105917,0.511140600571034
42,42,-0.6228546683315394,0.609034314725292,0.6889120781813481,0.8700667332985059
43,43,0.7804556983520089,0.3788791657705636,0.7816813494324836,0.8671463384192112
44,44,-0.31128729394979743,0.5299097376848992,0.4418613459645019,0.6134330345012403
45,45,0.13074606815891646,0.5708413137897576,0.4653212058520043,0.5842302977769865
46,46,0.1926640095375022,0.23114328520002023,0.25279290590512876,0.30046547683995134
47,47,-0.03825843764792282,0.5226603092519372,0.3570243399134629,0.5227538980478806
48,48,-0.6060337827669269,0.4087558527783303,0.6372909661524782,0.7304265098553229
49,49,0.5862089898039816,0.8737078202418092,0.8679225218812091,1.05032828587206
50,50,0.19048141742082828,0.2898581056613163,0.27137000895195645,0.34623807299765114
51,51,0.11290844810760828,0.35590677710643476,0.3062369773826392,0.372538056410894
52,52,-1.0005119805650848,0.7022504495326847,1.0212592289525113,1.2213574983000606
53,53,0.32956450573350127,0.3014266908636098,0.38013891430869573,0.4461126798853942
54,54,0.012530720346356041,0.3658137652613964,0.31430215370384196,0.3651131759507524
