time,mean_residual,std_residual,sem_residual,ci95_lower_mean_residual,ci95_upper_mean_residual,pointwise_mae,pointwise_rmse
0.0,-0.02151682496056663,0.1941819853153504,0.002746147972015017,-0.026899274985716065,-0.016134374935417195,0.15374273154602583,0.19535116034646527
0.25125628140703515,-0.009311848772519653,0.23372376451872648,0.0033053531763127856,-0.015790340998092713,-0.0028333565469465935,0.1844520746085815,0.23388583383511496
0.5025125628140703,3.888410564205163e-05,0.2496771086443493,0.003530967532589395,-0.0068818122582331625,0.006959580469517266,0.1980033902556852,0.24965214271313493
0.7537688442211055,0.025908663165642623,0.2657738075755365,0.0037586092319686092,0.01854178907098415,0.033275537260301094,0.21192504600649362,0.26700720678826345
1.0050251256281406,0.03713852355972628,0.2762663442050156,0.003906996108019668,0.02948081118800773,0.04479623593144483,0.21877686490838386,0.27872405395661953
1.2562814070351758,0.03187086308706926,0.2812618275970256,0.003977642911655569,0.024074682980224346,0.039667043193914175,0.22336694864371812,0.2830338247171189
1.507537688442211,0.03545233160861428,0.28921643779691314,0.004090138087936292,0.02743566095625915,0.04346900226096941,0.2287398643059933,0.2913525123949415
1.758793969849246,0.027201851526982818,0.2947203436814308,0.004167975071415391,0.01903262038700865,0.03537108266695699,0.2325985617639628,0.29594365965501107
2.0100502512562812,0.013568646916075136,0.2946208034226985,0.004166567359576378,0.005402174891305437,0.021735118940844837,0.23372343101432339,0.2949036549536257
2.2613065326633164,-0.0023238190256090847,0.29732848189323297,0.0042048597157321324,-0.010565344068444064,0.005917706017225895,0.23418671495194554,0.2973078294202312
2.5125628140703515,-0.009027978888795416,0.30351555683594195,0.004292358168686111,-0.017441000899420193,-0.0006149568781706402,0.23874122264258704,0.30361945475479674
2.7638190954773867,-0.00163119833342231,0.3092467741343937,0.0043734098210098885,-0.010203081582601692,0.006940684915757071,0.24280345583806112,0.3092201503897652
3.015075376884422,0.014920195521689774,0.3147437940026823,0.0044511494215135694,0.0061959426555231786,0.02364444838785637,0.24634881202009984,0.3150657952974836
3.266331658291457,0.03206885037948039,0.321145626541852,0.004541685005522921,0.023167147768655465,0.04097055299030531,0.2531738988710663,0.3227108577487442
3.517587939698492,0.0428195009012435,0.326280558434986,0.0046143039087742435,0.03377546524004598,0.05186353656244102,0.2569111808429193,0.32904592486386336
3.7688442211055273,0.03421775042264749,0.33392246899250827,0.004722376844303145,0.024961891807813327,0.04347360903748165,0.26171966524111,0.33563785379331124
4.0201005025125625,0.019234961327308026,0.33965873938395813,0.004803499958153421,0.00982010140932732,0.028649821245288733,0.26458566095724756,0.34016903057937936
4.271356783919598,0.0038282665004777286,0.347799866431936,0.004918632880995948,-0.00581225394627433,0.013468786947229788,0.2699495175835139,0.34778615522336814
4.522613065326633,-0.0007344120108381038,0.35112971344623817,0.004965724029078485,-0.010467231107831933,0.008998407086155727,0.27274056967605587,0.35109536683172765
4.773869346733668,0.006556103111816684,0.35778946437125114,0.005059907129880286,-0.003361314862748676,0.016473521086382045,0.2774904745237463,0.3578137513328923
5.025125628140703,0.01982098038115615,0.3637056805324178,0.005143575061210814,0.009739573261182955,0.029902387501129345,0.2807819296704336,0.3642090566562131
5.276381909547738,0.03532909764697046,0.3696259543985435,0.005227300377155194,0.025083588907746278,0.04557460638619464,0.28765826033407454,0.37127370851751745
5.527638190954773,0.04368543397523785,0.3758193270299607,0.005314887892876999,0.03326825370519893,0.05410261424527677,0.2918094991794902,0.37831248416823826
5.7788944723618085,0.0348287279920994,0.38359394895699966,0.005424837650592417,0.024196046196938263,0.045461409787260536,0.29685255590966503,0.38513365096604885
6.030150753768844,0.01582673155214547,0.3897902758885915,0.005512466946427965,0.005022296337146657,0.02663116676714428,0.30203458874657846,0.3900725026416154
6.281407035175879,0.0019004110095844331,0.39628325527582003,0.00560429154152424,-0.009084000411803078,0.012884822430971945,0.304914740637542,0.3962481821918217
6.532663316582914,-0.0013586929841556525,0.39760155043432654,0.005622935050447948,-0.01237964568303363,0.009662259714722324,0.3054653025073999,0.39756410999463265
6.783919597989949,0.005270890553431753,0.40524658816471815,0.005731052210879686,-0.005961971779892431,0.016503752886755936,0.31189543808165493,0.40524034170714923
7.035175879396984,0.01987117562837911,0.4071328276994003,0.005757727666198004,0.008586029402631024,0.031156321854127197,0.3161010435840419,0.4075768045209214
7.2864321608040195,0.033920677983824706,0.416125632990815,0.005884905138266996,0.02238626391282139,0.04545509205482802,0.32236246149759384,0.4174643969470962
7.537688442211055,0.043305727238407504,0.41917989097261854,0.005928098868875524,0.031686653455411475,0.054924801021403534,0.3252362330253973,0.4213692260372902
7.78894472361809,0.033302293742500544,0.42723200936668176,0.006041973019262705,0.021460026624745644,0.045144560860255444,0.32983320776260794,0.4284853873331501
8.040201005025125,0.02037133160102051,0.43987496064775117,0.006220771350963812,0.008178619753131439,0.032564043448909584,0.3373748729651903,0.44030248030173297
8.29145728643216,0.004927739647622362,0.4441898200193594,0.006281792677394422,-0.007384574000070705,0.01724005329531543,0.34044997012274236,0.44417273431360416
8.542713567839195,-0.003630023729281159,0.4498459308455645,0.006361782163801467,-0.016099116770332034,0.008839069311769716,0.34253960378767634,0.4498155914352987
8.793969849246231,0.007605708141982744,0.44379754949632877,0.006276245134456531,-0.004695732321552055,0.019907148605517545,0.3413902581185511,0.44381834175966656
9.045226130653266,0.025164138202085084,0.453521399700933,0.006413761142834888,0.012593166362128705,0.03773511004204146,0.3483157440481616,0.45417370851486927
