conv_filters,kernel_size,dilation_base,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,stability_score,n_params
"(128, 256, 16)",7,1,128,0.2,0.0015283007861169701,0.03797169327735901,0.0011690924480424066,0.21177594661712645,0.0041554476550470345,0.03914078572540142,471508
"(128,)",7,1,128,0.1,0.0032735064788348184,0.03817117363214493,0.001198879301890811,0.21171039640903472,0.003873339912270897,0.03937005293403574,290196
"(128,)",7,3,128,0.1,0.0015407674946107022,0.03896696865558624,0.0011008462092530393,0.2136353522539139,0.004706434278235686,0.040067814864839284,290196
"(128,)",7,1,128,0.1,0.0032659560708565064,0.03904165253043175,0.0018498328262715137,0.2146548569202423,0.005463686297763715,0.04089148535670326,290196
"(128,)",7,1,128,0.1,0.00337980562584819,0.039698779582977295,0.0016944683604314232,0.2152965933084488,0.006732105726771525,0.04139324794340872,290196
"(256,)",7,2,128,0.1,0.0013657023490441303,0.040083834528923036,0.0016682105930019863,0.21679311692714692,0.004059627432924507,0.04175204512192502,430996
"(128,)",7,3,128,0.1,0.001294947588809552,0.04041355177760124,0.001518170404410835,0.21767085194587707,0.005574290462373325,0.04193172218201208,290196
"(128,)",7,1,128,0.1,0.003936181955399311,0.040407349914312364,0.002922760452037964,0.21642379760742186,0.00796531703016837,0.04333011036635033,290196
