conv_filters,num_conv_layers,kernel_size,dilation_rate,lstm_units,dropout_rate,learning_rate,mean_val_loss,std_val_loss,mean_val_mae,std_val_mae,n_params,pass_number,search_parameter,from_cache,stability_score
"(32, 64)",2,3,4,128,0.1,0.001,0.04961704462766647,0.00257157125852516,0.24277956783771515,0.007328503769192642,221471,2,conv_filters,False,0.052188615886191635
"(64, 128)",2,3,4,128,0.1,0.001,0.05056127905845642,0.0053259058068128385,0.24187171459197998,0.013993253304694371,306591,2,conv_filters,False,0.05588718486526926
"(128, 256)",2,3,4,128,0.1,0.001,0.04594015081723531,0.0031790909658213737,0.2327122688293457,0.009454567414554499,513695,2,conv_filters,False,0.04911924178305669
"(16, 32, 64)",3,3,4,128,0.1,0.001,0.059162688752015434,0.004278770421435192,0.26226215561230976,0.011349781299998645,222623,2,conv_filters,False,0.06344145917345062
"(32, 64, 128)",3,3,4,128,0.1,0.001,0.05105653529365858,0.0026538779770116376,0.2446922908226649,0.006798036761305706,311967,2,conv_filters,False,0.053710413270670214
"(64, 128, 256)",3,3,4,128,0.1,0.001,0.04853143418828646,0.003121597149484147,0.2375282496213913,0.00955722637629921,536735,2,conv_filters,False,0.051653031337770605
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,2,kernel_size,True,0.043056531384149666
"(128,)",1,5,4,128,0.1,0.001,0.04357239976525307,0.001289063749498809,0.22441057364145914,0.0035087250373274574,285855,2,kernel_size,False,0.04486146351475188
"(128,)",1,7,4,128,0.1,0.001,0.04610445350408554,0.0027514050112867573,0.23060700794061026,0.00596102502102313,288159,2,kernel_size,False,0.048855858515372295
"(128,)",1,3,1,128,0.1,0.001,0.044872574508190155,0.0012440987072133707,0.22998619079589844,0.0023501720639318756,283551,2,dilation_rate,False,0.046116673215403525
"(128,)",1,3,2,128,0.1,0.001,0.044584703942139946,0.0018128044447725301,0.22786070903142294,0.004371239449742101,283551,2,dilation_rate,False,0.04639750838691248
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,2,dilation_rate,True,0.043056531384149666
"(128,)",1,3,4,64,0.1,0.001,0.042313276479641594,0.0018417169659526085,0.22233156859874725,0.0056242008747348065,111007,2,lstm_units,True,0.044154993445594204
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,2,lstm_units,True,0.043056531384149666
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,2,dropout_rate,True,0.043056531384149666
"(128,)",1,3,4,128,0.1,0.001,0.04209489251176516,0.0009616388723845079,0.2221794972817103,0.0026132148810293783,283551,2,learning_rate,True,0.043056531384149666
"(128,)",1,3,4,128,0.1,0.003,0.04311240464448929,0.0016378177773686733,0.22516299287478128,0.004792390011345451,283551,2,learning_rate,True,0.044750222421857964
