epoch_zero_based,loss,mae,val_loss,val_mae,learning_rate
0,0.13750042021274567,0.4069182574748993,0.0863523781299591,0.3182874917984009,0.0010000000474974513
1,0.08842073380947113,0.3242172598838806,0.08635497838258743,0.31791260838508606,0.0010000000474974513
2,0.0825771763920784,0.31331703066825867,0.07381376624107361,0.29387637972831726,0.0010000000474974513
3,0.0758652314543724,0.2989353537559509,0.07911502569913864,0.3022735118865967,0.0010000000474974513
4,0.0758792832493782,0.29945215582847595,0.06693808734416962,0.2809101641178131,0.0010000000474974513
5,0.06822600215673447,0.281869113445282,0.07210057228803635,0.28772708773612976,0.0010000000474974513
6,0.0677657499909401,0.2823885977268219,0.0656132772564888,0.2760576009750366,0.0010000000474974513
7,0.06600681692361832,0.2774440348148346,0.061975255608558655,0.2730497121810913,0.0010000000474974513
8,0.059444449841976166,0.26139071583747864,0.06260616332292557,0.2674345076084137,0.0010000000474974513
9,0.05928114056587219,0.26368409395217896,0.05919774994254112,0.2646145522594452,0.0010000000474974513
10,0.05635840445756912,0.2554318606853485,0.06229096278548241,0.2698866128921509,0.0010000000474974513
11,0.05687519162893295,0.25821104645729065,0.059016596525907516,0.26654455065727234,0.0010000000474974513
12,0.05086800828576088,0.24149243533611298,0.05818768963217735,0.2610205113887787,0.0010000000474974513
13,0.04924638569355011,0.23914408683776855,0.06193309277296066,0.26727494597435,0.0010000000474974513
14,0.04765288159251213,0.23531700670719147,0.05920043960213661,0.2632235586643219,0.0010000000474974513
15,0.04520432651042938,0.22967387735843658,0.05120772868394852,0.24384623765945435,0.0010000000474974513
16,0.043949853628873825,0.22618499398231506,0.047934096306562424,0.2366253137588501,0.0010000000474974513
17,0.04348601773381233,0.22567062079906464,0.04903902858495712,0.24138325452804565,0.0010000000474974513
18,0.04081707447767258,0.21790055930614471,0.058069758117198944,0.2537563741207123,0.0010000000474974513
19,0.039041757583618164,0.2128627896308899,0.0713944286108017,0.2844027280807495,0.0010000000474974513
20,0.03790074214339256,0.21045200526714325,0.060151487588882446,0.2608692944049835,0.0010000000474974513
21,0.03446164354681969,0.20100441575050354,0.05209418758749962,0.243663489818573,0.0010000000474974513
22,0.033414386212825775,0.19830095767974854,0.04891413077712059,0.2369922399520874,0.0010000000474974513
23,0.03323323279619217,0.1985221803188324,0.051882773637771606,0.24525880813598633,0.0010000000474974513
24,0.031175602227449417,0.19322457909584045,0.06116795912384987,0.2673267126083374,0.0010000000474974513
25,0.03219084069132805,0.1963435411453247,0.04801011085510254,0.23580726981163025,0.0005000000237487257
26,0.035031288862228394,0.2053758054971695,0.051342010498046875,0.2463742047548294,0.0005000000237487257
27,0.030119838193058968,0.1894376426935196,0.048063017427921295,0.2361215502023697,0.0005000000237487257
28,0.025811094790697098,0.17545965313911438,0.0457913763821125,0.23084281384944916,0.0005000000237487257
29,0.02489045262336731,0.17252832651138306,0.0469517856836319,0.2342584729194641,0.0005000000237487257
30,0.02432332932949066,0.17085246741771698,0.046633947640657425,0.23351013660430908,0.0005000000237487257
31,0.02345910668373108,0.16768133640289307,0.046711526811122894,0.23379948735237122,0.0005000000237487257
32,0.022338975220918655,0.1639828234910965,0.04610196873545647,0.2323678880929947,0.0005000000237487257
33,0.021441441029310226,0.16059114038944244,0.0461588017642498,0.23266087472438812,0.0005000000237487257
34,0.02033568173646927,0.15623469650745392,0.045909035950899124,0.2325272560119629,0.0005000000237487257
35,0.019530806690454483,0.15317228436470032,0.045296747237443924,0.23065119981765747,0.0005000000237487257
36,0.018861446529626846,0.15038958191871643,0.04511212185025215,0.2303534895181656,0.0005000000237487257
37,0.01813967153429985,0.14763696491718292,0.0455792173743248,0.23167768120765686,0.0005000000237487257
38,0.017408009618520737,0.14474420249462128,0.04518047347664833,0.23059780895709991,0.0005000000237487257
39,0.01693485490977764,0.14273975789546967,0.04499802738428116,0.23024320602416992,0.0005000000237487257
40,0.016391323879361153,0.14039024710655212,0.044916100800037384,0.2298218309879303,0.0005000000237487257
41,0.01596464216709137,0.13854606449604034,0.04556809738278389,0.2312432825565338,0.0005000000237487257
